username,password,email,firstname,lastname,role
admin2,FPVIRTUAL_PASSWORD,fpvirtual@fpvirtualaragon.es,fp,distancia,admin
profinspector,MANAGER_PASSWORD,inspeccion@educa.aragon.es,Inspección,Inspección,inspeccion
estudiante1,estudiante,alumnado@fpvirtualaragon.es,Estudiante1,Uno,student
estudiante2,estudiante,alumnado@fpvirtualaragon.es,Estudiante2,Dos,student
estudiante3,estudiante,alumnado@fpvirtualaragon.es,Estudiante3,Tres,student
estudiante4,estudiante,alumnado@fpvirtualaragon.es,Estudiante4,Cuatro,student
estudiante5,estudiante,alumnado@fpvirtualaragon.es,Estudiante5,Cinco,student
estudiante6,estudiante,alumnado@fpvirtualaragon.es,Estudiante6,Seis,student
estudiante7,estudiante,alumnado@fpvirtualaragon.es,Estudiante7,Siete,student
estudiante8,estudiante,alumnado@fpvirtualaragon.es,Estudiante8,Ocho,student
estudiante9,estudiante,alumnado@fpvirtualaragon.es,Estudiante9,Nueve,student
estudiante10,estudiante,alumnado@fpvirtualaragon.es,Estudiante10,Diez,student
prof_cd_daw,FPVIRTUAL_PASSWORD,prof_daw@fpvirtualaragon.es,Profesor,DAW,teacher
